phrase,chi2,party
amnesti illeg immigr,23.423631123919307,R
grant amnesti million,23.423631123919307,R
immigr illeg immigr,23.423631123919307,R
protect defend constitut,23.423631123919307,R
recogn address floor,23.423631123919307,R
speech religion press,23.423631123919307,R
unit state congress,23.545624343326296,R
immigr custom enforc,23.564619223160374,R
border patrol agent,23.87788058698017,R
buy health insur,24.558937404978558,R
go enforc law,24.558937404978558,R
go back home,24.887608069164266,R
citizen legal immigr,25.031542228840195,R
floor hous repres,25.133324607839008,R
health care bill,25.133324607839008,R
divers visa program,25.273622047244096,D
get unit state,25.970713540130255,R
mr yield back,26.006898273162538,R
peopl come across,26.01304042686307,R
provid health insur,26.35158501440922,R
system unit state,26.35158501440922,R
care law faith,26.482955705824956,R
law faith execut,26.482955705824956,R
take care law,26.482955705824956,R
unit state legal,27.468041078143983,R
american heritag month,27.478576210034255,D
freedom speech religion,27.815561959654175,R
preserv protect defend,27.815561959654175,R
senat gang eight,27.815561959654175,R
back home countri,28.958484578650562,R
unit state govern,28.958484578650562,R
feder immigr law,29.143534145317567,R
unit state constitut,29.561600639257268,R
secretari homeland secur,29.821697879374476,R
present unit state,30.293764743430998,R
center immigr studi,30.379561029294965,R
floor unit state,30.379561029294965,R
congression black caucus,30.87034253103088,D
mae freddi mac,31.83735165308947,R
enforc immigr law,33.15732256409093,R
unaccompani alien children,33.29494852477845,R
address floor hous,33.671469740633995,R
come countri illeg,34.75301799450861,R
fanni mae freddi,34.75301799450861,R
build fenc wall,36.21150942677554,R
health insur compani,37.521715135031755,R
unit state would,37.670379170282345,R
amnesti million illeg,38.06340057636887,R
peopl come countri,39.084638250854866,R
constitut unit state,39.31574308794974,R
pass comprehens immigr,39.45033905773863,D
across southern border,40.589107147954934,R
fix broken immigr,40.665637104051854,D
peopl unit state,40.6721094347039,R
right keep bear,40.991354466858795,R
keep bear arm,42.455331412103746,R
gang eight bill,43.50895341809022,R
immigr reform bill,44.02974586402976,D
victim domest violenc,44.0391253764827,D
vote right act,45.190298887883564,D
peopl come illeg,46.42972627340892,R
million illeg alien,51.23919308357349,R
unit state america,51.43322579317294,R
come across border,52.02608085372614,R
social secur number,58.74846543226141,R
unit state senat,60.15358364208254,R
pillar american except,68.35383432798565,R
free enterpris capit,68.80691642651297,R
asian pacif american,75.9058291523246,D
health insur polici,84.91066282420749,R
unit state illeg,90.29434828599209,R
violenc women act,93.10860614178901,D
million illeg immigr,94.05480295642027,R
come unit state,101.44856493251604,R
broken immigr system,106.37189160382827,D
presid unit state,150.7807084071139,R
comprehens immigr reform,231.89285656072633,D
