phrase,chi2,party
action immigr,2.840095219995915,D
civil war,2.840095219995915,D
say dont,2.842848714515874,R
border mexico,2.8443280380242877,R
presid clinton,2.8443280380242877,R
children immigr,2.851670108239351,D
found immigr,2.851670108239351,D
live american,2.8661344762204295,D
democrat republican,2.8673518725255773,D
major american,2.9061810774566927,R
sure peopl,2.9061810774566927,R
high skill,2.909404724822025,D
import part,2.909404724822025,D
long overdu,2.909404724822025,D
stand today,2.909404724822025,D
year work,2.909404724822025,D
congress pass,2.940956227733782,D
elli island,2.969119778866862,R
born unit,3.006030316095214,D
help ensur,3.006030316095214,D
way immigr,3.006030316095214,D
state texa,3.0726361571396836,D
committe mr,3.1245838138126363,R
differ way,3.1245838138126363,R
go abl,3.1245838138126363,R
one top,3.1245838138126363,R
bottom line,3.1264607774172326,R
safeti american,3.1264607774172326,R
built upon,3.135273661757699,R
near year,3.135273661757699,R
one great,3.135273661757699,R
well know,3.135273661757699,R
end meet,3.145093489754703,R
came congress,3.1556302878178792,R
im glad,3.1556302878178792,R
us back,3.1556302878178792,R
us immigr,3.1631204729503484,R
immigr one,3.183582239539942,R
nation interest,3.183582239539942,R
rais famili,3.183582239539942,R
said want,3.183582239539942,R
want know,3.183582239539942,R
bring bill,3.2096582307615,D
floor today,3.223229481041095,D
secur bill,3.223229481041095,D
thank mr,3.2291767055139466,R
action taken,3.23357379646381,D
address issu,3.23357379646381,D
chamber commerc,3.23357379646381,D
throughout countri,3.23357379646381,D
colleg student,3.253143776882804,D
countri make,3.253143776882804,D
immigr america,3.256575625723298,R
tea parti,3.256575625723298,R
judiciari committe,3.263314347954344,D
colleagu vote,3.283986475753931,D
also includ,3.3050583263658218,D
peopl make,3.346025550840727,R
brought countri,3.3875819243932694,D
justic system,3.3875819243932694,D
parent us,3.3875819243932694,D
repres district,3.3875819243932694,D
amend would,3.411899880251079,D
madam rise,3.431511727576769,D
congression district,3.46912441285257,D
bipartisan vote,3.5144886428101385,D
moral oblig,3.5144886428101385,D
presid execut,3.557331776397331,R
local law,3.565412450709628,D
look forward,3.58980035318945,D
import us,3.611802383325448,D
work us,3.611802383325448,D
futur generat,3.613474842317431,R
bill us,3.6150411854137814,D
million children,3.6150411854137814,D
us work,3.6261331661712304,D
go colleg,3.62862322437541,D
abl get,3.6719732124622766,R
like thank,3.7021091924028227,D
american valu,3.7026452835326413,D
play field,3.7754600739749016,D
system one,3.7754600739749016,D
immigr visa,3.8221341057654294,D
men women,3.882557200419937,D
bipartisan basi,3.8828335961787186,D
last congress,3.8828335961787186,D
member side,3.8828335961787186,D
presid ronald,3.8828335961787186,D
el paso,3.892793828995438,D
bill come,3.9048026957725397,R
say would,3.9048026957725397,R
senat democrat,3.9048026957725397,R
three time,3.9048026957725397,R
want put,3.9048026957725397,R
court rule,3.90807597177154,R
even wors,3.90807597177154,R
think presid,3.90807597177154,R
congress need,3.9121221344897217,R
countri need,3.9121221344897217,R
everi state,3.9121221344897217,R
part american,3.9121221344897217,R
hous presid,3.9247052793692094,R
might add,3.9247052793692094,R
number year,3.9247052793692094,R
provid servic,3.9247052793692094,R
feder agenc,3.9279840850747982,R
like see,3.9279840850747982,R
colleagu side,3.9374787265424676,D
fund use,3.9585066275937413,R
stand say,3.9585066275937413,R
pass away,3.979477799424928,R
bill go,4.012972286089442,R
driver licens,4.012972286089442,R
larg number,4.012972286089442,R
america peopl,4.014902766116772,R
american way,4.014902766116772,R
could use,4.014902766116772,R
countri around,4.014902766116772,R
get better,4.014902766116772,R
lot thing,4.014902766116772,R
make end,4.014902766116772,R
mr im,4.014902766116772,R
peopl year,4.014902766116772,R
presid also,4.014902766116772,R
presid know,4.014902766116772,R
way peopl,4.014902766116772,R
bill address,4.039576735184758,D
bill vote,4.039576735184758,D
mani member,4.039576735184758,D
support presid,4.039576735184758,D
work toward,4.039576735184758,D
pay tribut,4.057018692431342,D
would ask,4.091677186939107,R
enforc offici,4.10148323551436,D
immigr unit,4.1232094563631465,R
border secur,4.141686900088499,D
across countri,4.163165291928566,D
budget offic,4.18253193855091,R
tri make,4.18253193855091,R
also like,4.261052472907746,D
budget deficit,4.261052472907746,D
includ provis,4.261052472907746,D
know countri,4.261052472907746,D
take step,4.261052472907746,D
american famili,4.286478451919441,D
care act,4.34019842849746,D
last week,4.351564943754774,D
american societi,4.3931108035126725,D
iraq afghanistan,4.416478534870124,D
under bill,4.436883550487659,D
want thank,4.458248712246703,D
immigr enforc,4.506361415421638,R
green card,4.541614073952212,D
week ago,4.560526327934892,R
crimin justic,4.5615195975142875,D
famili communiti,4.579026897901844,D
put forward,4.579026897901844,D
today speak,4.579026897901844,D
congress act,4.645442551737048,D
senior citizen,4.685457925355692,R
american economi,4.689691166125848,R
even know,4.689691166125848,R
first year,4.689691166125848,R
realli want,4.690372584169477,R
work peopl,4.702910492636548,R
air forc,4.7050325706765035,R
cannot afford,4.7050325706765035,R
hardwork american,4.7050325706765035,R
work work,4.7050325706765035,R
everi time,4.721867979759015,R
one day,4.721867979759015,R
countri get,4.734045561418544,R
estim million,4.734045561418544,R
law allow,4.734045561418544,R
make law,4.734045561418544,R
see happen,4.734045561418544,R
state could,4.734045561418544,R
washington post,4.734045561418544,R
less like,4.760264076475684,D
need pass,4.760264076475684,D
colleagu support,4.773837713623651,R
countri think,4.780148034899817,R
give american,4.780148034899817,R
leav countri,4.780148034899817,R
work way,4.780148034899817,R
year age,4.780148034899817,R
year mr,4.780148034899817,R
make differ,4.8189496951972375,D
special immigr,4.820054913885043,D
address immigr,4.844312328394109,D
hard play,4.844312328394109,D
leadership bring,4.844312328394109,D
year presid,4.84514698787573,R
american cultur,4.848000759140108,R
bill today,4.848000759140108,R
feel like,4.848000759140108,R
know better,4.848000759140108,R
law must,4.848000759140108,R
peopl let,4.848000759140108,R
polit parti,4.848000759140108,R
said look,4.848000759140108,R
would see,4.848000759140108,R
senat version,4.861580702988493,D
north carolina,4.884863438584947,R
opposit rule,4.9166798307549175,D
right law,4.9166798307549175,D
would lose,4.9166798307549175,D
came floor,4.944128809367129,R
job go,4.944128809367129,R
mr one,4.944128809367129,R
opportun come,4.944128809367129,R
resid unit,4.944128809367129,R
use word,4.944128809367129,R
join colleagu,4.957587489548731,D
state new,4.957587489548731,D
thousand peopl,5.067877423553323,R
go tell,5.077957294243118,R
peopl ask,5.077957294243118,R
communiti across,5.130965817438465,D
protect right,5.130965817438465,D
senat pass,5.213059047864208,D
bill also,5.213669727175487,D
thank colleagu,5.213669727175487,D
usmexico border,5.213669727175487,D
would go,5.22395012513368,R
peopl live,5.22957731142784,D
los angel,5.237747906691779,D
continu work,5.302239595614388,D
member congress,5.407270822055022,D
better life,5.4101574828935615,D
creat job,5.422156979467286,D
higher educ,5.425330873176154,D
made great,5.429163641108262,D
work make,5.429163641108262,D
countri like,5.4663726048769945,R
good thing,5.471306360480156,R
im sure,5.471306360480156,R
last night,5.4794683116111145,R
nation defens,5.4794683116111145,R
want get,5.4794683116111145,R
amend offer,5.4953616606516125,R
year would,5.4953616606516125,R
defend countri,5.511544579285124,R
fund depart,5.511544579285124,R
state like,5.5163777258390265,R
hire peopl,5.551038105603986,R
time would,5.551038105603986,R
great deal,5.571268919194898,R
percent american,5.571268919194898,R
time time,5.60413549340406,R
back year,5.607274955183916,R
came back,5.607274955183916,R
constitut presid,5.607274955183916,R
public servic,5.666518671191874,D
million dollar,5.678739332328023,R
could come,5.684273525607569,R
could take,5.684273525607569,R
execut law,5.684273525607569,R
get health,5.684273525607569,R
what happen,5.684273525607569,R
us citizen,5.6900204995088846,D
